Time,ssm
"Apr 2, 2019",2.309
"Apr 5, 2019",2.309
"Apr 8, 2019",2.309
"Apr 11, 2019",2.309
"Apr 14, 2019",6.346
"Apr 17, 2019",2.357
"Apr 20, 2019",2.309
"Apr 23, 2019",2.309
"Apr 26, 2019",2.309
"Apr 29, 2019",2.309
"May 2, 2019",2.309
"May 5, 2019",2.309
"May 8, 2019",2.309
"May 11, 2019",2.309
"May 14, 2019",2.309
"May 17, 2019",2.309
"May 20, 2019",2.309
"May 23, 2019",2.309
"May 26, 2019",2.309
"May 29, 2019",2.309
"Jun 1, 2019",2.309
"Jun 4, 2019",2.309
"Jun 7, 2019",8.927
"Jun 10, 2019",24.919
"Jun 13, 2019",22.59
"Jun 16, 2019",16.168
"Jun 19, 2019",16.921
"Jun 22, 2019",14.406
"Jun 25, 2019",18.528
"Jun 28, 2019",24.484
"Jul 1, 2019",24.566
"Jul 4, 2019",25.366
"Jul 7, 2019",24.958
"Jul 10, 2019",24.909
"Jul 13, 2019",25.236
"Jul 16, 2019",23.778
"Jul 19, 2019",25.319
"Jul 22, 2019",24.518
"Jul 25, 2019",25.161
"Jul 28, 2019",25.4
"Jul 31, 2019",24.82
"Aug 3, 2019",24.978
"Aug 6, 2019",25.38
"Aug 9, 2019",25.09
"Aug 12, 2019",24.991
"Aug 15, 2019",25.253
"Aug 18, 2019",24.907
"Aug 21, 2019",25.4
"Aug 24, 2019",25.245
"Aug 27, 2019",25.212
"Aug 30, 2019",22.384
"Sep 2, 2019",25.4
"Sep 5, 2019",24.348
"Sep 8, 2019",24.384
"Sep 11, 2019",25.294
"Sep 14, 2019",24.207
"Sep 17, 2019",25.286
"Sep 20, 2019",25.366
"Sep 23, 2019",24.372
"Sep 26, 2019",25.134
"Sep 29, 2019",24.859
"Oct 2, 2019",22.165
"Oct 5, 2019",23.748
"Oct 8, 2019",24.37
"Oct 11, 2019",25.081
"Oct 14, 2019",19.219
"Oct 17, 2019",20.708
"Oct 20, 2019",25.042
"Oct 23, 2019",25.379
"Oct 26, 2019",23.467
"Oct 29, 2019",24.963
"Nov 1, 2019",23.693
"Nov 4, 2019",24.452
"Nov 7, 2019",22.296
"Nov 10, 2019",19.016
"Nov 16, 2019",15.752
"Nov 19, 2019",14.605
"Nov 22, 2019",13.397
"Nov 25, 2019",12.028
"Nov 28, 2019",11.652
"Dec 1, 2019",10.798
"Dec 4, 2019",9.647
"Dec 7, 2019",9.36
"Dec 10, 2019",8.292
"Dec 13, 2019",8.091
"Dec 22, 2019",5.801
"Dec 28, 2019",5.586
"Dec 31, 2019",4.672
"Jan 3, 2020",4.435
"Jan 6, 2020",4.441
"Jan 9, 2020",4.227
"Jan 12, 2020",4.188
"Jan 15, 2020",3.473
"Jan 18, 2020",3.12
"Jan 21, 2020",2.923
"Jan 24, 2020",2.377
"Jan 27, 2020",2.855
"Jan 30, 2020",2.729
"Feb 2, 2020",2.738
"Feb 5, 2020",2.836
"Feb 17, 2020",2.309
"Feb 20, 2020",2.339
"Feb 23, 2020",2.309
"Feb 26, 2020",2.42
"Feb 29, 2020",2.382
"Mar 3, 2020",2.309
"Mar 6, 2020",2.336
"Mar 9, 2020",2.309
"Mar 12, 2020",2.309
"Mar 15, 2020",2.309
"Mar 18, 2020",2.373
"Mar 21, 2020",2.309
"Mar 24, 2020",4.528
"Mar 27, 2020",2.309
"Mar 30, 2020",8.12
"Apr 2, 2020",2.953
"Apr 5, 2020",2.321
"Apr 8, 2020",2.399
"Apr 11, 2020",2.331
"Apr 14, 2020",2.309
"Apr 17, 2020",2.309
"Apr 20, 2020",2.309
"Apr 23, 2020",2.309
"Apr 26, 2020",2.309
"Apr 29, 2020",6.099
